Report Name: Log Report
Location IP,Collection Time,Location,Status,HTTP Status Code,DNS Response Time (ms),Connection Time (ms),SSL Handshake Time (ms),First Byte Time (ms),Download Time (ms),Response Time (ms),Content Length (B),Resolved IP,Reason
169.197.141.229,October 9 2024 2:44:25 PM EDT,New York - US,Up,200,28,1,13,390,5,437,152440,104.18.9.189,-
104.236.114.81,October 9 2024 2:39:22 PM EDT,New York - US,Up,200,57,5,20,155,3,240,152440,104.18.9.189,-
66.165.233.146,October 9 2024 2:34:13 PM EDT,New York - US,Up,200,47,4,11,350,6,418,152440,104.18.8.189,-
209.151.153.107,October 9 2024 2:29:10 PM EDT,New York - US,Up,200,11,1,11,310,8,341,152440,104.18.9.189,-
66.165.233.146,October 9 2024 2:24:07 PM EDT,New York - US,Up,200,63,1,17,354,5,440,152440,104.18.8.189,-
66.165.251.146,October 9 2024 2:19:03 PM EDT,New York - US,Up,200,53,3,36,103,5,200,152440,104.18.9.189,-
207.244.104.199,October 9 2024 2:19:03 PM EDT,Virginia - US,Up,200,6,3,34,419,14,476,152440,104.18.8.189,-
172.105.0.109,October 9 2024 2:19:03 PM EDT,Toronto - CA,Up,200,265,1,9,180,5,460,152440,104.18.9.189,-
64.235.50.24,October 9 2024 2:19:03 PM EDT,Las Vegas - US,Up,200,23,8,18,431,12,492,152440,104.18.8.189,-
45.58.47.160,October 9 2024 2:14:01 PM EDT,New York - US,Up,200,97,6,15,132,7,257,152440,104.18.9.189,-
104.236.16.22,October 9 2024 2:08:56 PM EDT,New York - US,Up,200,16,2,12,342,5,377,152440,104.18.9.189,-
169.197.141.229,October 9 2024 2:03:52 PM EDT,New York - US,Up,200,14,2,11,157,5,189,152440,104.18.8.189,-
45.58.47.160,October 9 2024 1:58:39 PM EDT,New York - US,Up,200,91,2,19,367,5,484,152440,104.18.8.189,-
104.236.16.22,October 9 2024 1:53:34 PM EDT,New York - US,Up,200,14,3,19,403,6,445,152440,104.18.8.189,-
104.236.114.81,October 9 2024 1:48:30 PM EDT,New York - US,Up,200,14,7,15,130,12,178,152440,104.18.9.189,-
75.101.151.107,October 9 2024 1:48:30 PM EDT,Virginia - US,Up,200,14,2,14,168,5,203,152440,104.18.8.189,-
