Report Name: Log Report
Location IP,Collection Time,Location,Status,HTTP Status Code,DNS Response Time (ms),Connection Time (ms),SSL Handshake Time (ms),First Byte Time (ms),Download Time (ms),Response Time (ms),Content Length (B),Resolved IP,Reason
209.151.153.107,October 10 2024 6:16:30 AM EDT,New York - US,Up,200,8,1,11,200,16,236,638209,104.18.17.112,-
174.129.225.90,October 10 2024 6:16:30 AM EDT,Virginia - US,Up,200,27,2,8,184,12,233,638209,104.18.17.112,-
159.203.37.151,October 10 2024 6:16:30 AM EDT,Toronto - CA,Up,200,48,1,11,308,12,380,638209,104.18.16.112,-
45.10.22.81,October 10 2024 6:16:30 AM EDT,Las Vegas - US,Up,200,28,8,17,360,14,428,638209,104.18.17.112,-
104.236.16.22,October 10 2024 6:11:15 AM EDT,New York - US,Up,200,16,2,13,187,13,231,638209,104.18.17.112,-
198.211.100.169,October 10 2024 6:06:09 AM EDT,New York - US,Up,200,15,5,20,181,16,238,638209,104.18.17.112,-
198.211.100.169,October 10 2024 6:00:54 AM EDT,New York - US,Up,200,27,1,13,149,13,203,638209,104.18.17.112,-
209.151.153.107,October 10 2024 5:55:49 AM EDT,New York - US,Up,200,9,2,10,191,13,225,638209,104.18.16.112,-
169.197.141.229,October 10 2024 5:50:36 AM EDT,New York - US,Up,200,12,2,10,189,13,226,638209,104.18.17.112,-
172.96.165.98,October 10 2024 5:45:28 AM EDT,New York - US,Up,200,15,2,12,1802,36,1867,638209,104.18.16.112,-
207.244.103.237,October 10 2024 5:45:28 AM EDT,Virginia - US,Up,200,4,1,10,1750,12,1777,638209,104.18.16.112,-
172.105.0.109,October 10 2024 5:45:28 AM EDT,Toronto - CA,Up,200,204,1,8,1618,14,1845,638209,104.18.16.112,-
45.10.22.81,October 10 2024 5:45:28 AM EDT,Las Vegas - US,Up,200,16,9,22,1860,13,1920,638209,104.18.16.112,-
172.96.165.98,October 10 2024 5:40:24 AM EDT,New York - US,Up,200,14,1,13,160,13,201,638006,104.18.17.112,-
169.197.141.229,October 10 2024 5:35:18 AM EDT,New York - US,Up,200,24,1,12,309,13,359,638006,104.18.16.112,-
209.151.153.107,October 10 2024 5:30:17 AM EDT,New York - US,Up,200,10,1,8,144,10,173,638006,104.18.17.112,-
66.165.253.194,October 10 2024 5:25:10 AM EDT,New York - US,Up,200,43,2,21,167,13,246,638006,104.18.16.112,-
